Country,Admin1,Event month,Sub-Event Type,Fatalities
Lebanon,Baalbek-Hermel,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-06-01,Air/drone strike,3
Lebanon,Bekaa,2024-06-01,Armed clash,0
Lebanon,Bekaa,2024-06-01,Attack,0
Lebanon,Bekaa,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-06-01,Air/drone strike,0
Lebanon,North,2024-06-01,Armed clash,0
Lebanon,North,2024-06-01,Attack,0
Lebanon,North,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-06-01,Air/drone strike,0
Lebanon,Beirut,2024-06-01,Armed clash,0
Lebanon,Beirut,2024-06-01,Attack,0
Lebanon,Beirut,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-06-01,Air/drone strike,0
Lebanon,Akkar,2024-06-01,Armed clash,0
Lebanon,Akkar,2024-06-01,Attack,0
Lebanon,Akkar,2024-06-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-06-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-07-01,Air/drone strike,31
Lebanon,Al Nabatieh,2024-07-01,Armed clash,0
Lebanon,Al Nabatieh,2024-07-01,Attack,0
Lebanon,Al Nabatieh,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Al Nabatieh,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-07-01,Air/drone strike,11
Lebanon,South,2024-07-01,Armed clash,0
Lebanon,South,2024-07-01,Attack,0
Lebanon,South,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,South,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-07-01,Air/drone strike,7
Lebanon,Mount Lebanon,2024-07-01,Armed clash,0
Lebanon,Mount Lebanon,2024-07-01,Attack,0
Lebanon,Mount Lebanon,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-07-01,Air/drone strike,1
Lebanon,Baalbek-Hermel,2024-07-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-07-01,Attack,0
Lebanon,Baalbek-Hermel,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-07-01,Air/drone strike,1
Lebanon,Bekaa,2024-07-01,Armed clash,0
Lebanon,Bekaa,2024-07-01,Attack,0
Lebanon,Bekaa,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-07-01,Air/drone strike,0
Lebanon,North,2024-07-01,Armed clash,0
Lebanon,North,2024-07-01,Attack,0
Lebanon,North,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-07-01,Air/drone strike,0
Lebanon,Beirut,2024-07-01,Armed clash,0
Lebanon,Beirut,2024-07-01,Attack,0
Lebanon,Beirut,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-07-01,Air/drone strike,0
Lebanon,Akkar,2024-07-01,Armed clash,0
Lebanon,Akkar,2024-07-01,Attack,0
Lebanon,Akkar,2024-07-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-07-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-08-01,Air/drone strike,47
Lebanon,Al Nabatieh,2024-08-01,Armed clash,0
Lebanon,Al Nabatieh,2024-08-01,Attack,0
Lebanon,Al Nabatieh,2024-08-01,Shelling/artillery/missile attack,2
Lebanon,Al Nabatieh,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,South,2024-08-01,Air/drone strike,23
Lebanon,South,2024-08-01,Armed clash,0
Lebanon,South,2024-08-01,Attack,0
Lebanon,South,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,South,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Mount Lebanon,2024-08-01,Air/drone strike,0
Lebanon,Mount Lebanon,2024-08-01,Armed clash,0
Lebanon,Mount Lebanon,2024-08-01,Attack,0
Lebanon,Mount Lebanon,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Baalbek-Hermel,2024-08-01,Air/drone strike,1
Lebanon,Baalbek-Hermel,2024-08-01,Armed clash,0
Lebanon,Baalbek-Hermel,2024-08-01,Attack,0
Lebanon,Baalbek-Hermel,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Baalbek-Hermel,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Bekaa,2024-08-01,Air/drone strike,0
Lebanon,Bekaa,2024-08-01,Armed clash,0
Lebanon,Bekaa,2024-08-01,Attack,0
Lebanon,Bekaa,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Bekaa,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,North,2024-08-01,Air/drone strike,0
Lebanon,North,2024-08-01,Armed clash,0
Lebanon,North,2024-08-01,Attack,0
Lebanon,North,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,North,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Beirut,2024-08-01,Air/drone strike,0
Lebanon,Beirut,2024-08-01,Armed clash,0
Lebanon,Beirut,2024-08-01,Attack,0
Lebanon,Beirut,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Beirut,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Akkar,2024-08-01,Air/drone strike,0
Lebanon,Akkar,2024-08-01,Armed clash,0
Lebanon,Akkar,2024-08-01,Attack,0
Lebanon,Akkar,2024-08-01,Shelling/artillery/missile attack,0
Lebanon,Akkar,2024-08-01,Remote explosive/landmine/IED,0
Lebanon,Al Nabatieh,2024-09-01,Air/drone strike,150
Lebanon,Al Nabatieh,2024-09-01,Armed clash,0
Lebanon,Al Nabatieh,2024-09-01,Attack,0
Lebanon,Al Nabatieh,2024-09-01,Shelling/artillery/missile attack,3
Lebanon,Al Nabatieh,2024-09-01,Remote explosive/landmine/IED,10
Lebanon,South,2024-09-01,Air/drone strike,526
Lebanon,South,2024-09-01,Armed clash,2
Lebanon,South,2024-09-01,Attack,0
Lebanon,South,2024-09-01,Shelling/artillery/missile attack,0
Lebanon,South,2024-09-01,Remote explosive/landmine/IED,19
Lebanon,Mount Lebanon,2024-09-01,Air/drone strike,133
Lebanon,Mount Lebanon,2024-09-01,Armed clash,0
Lebanon,Mount Lebanon,2024-09-01,Attack,0
Lebanon,Mount Lebanon,2024-09-01,Shelling/artillery/missile attack,0
Lebanon,Mount Lebanon,2024-09-01,Remote explosive/landmine/IED,2
Lebanon,Baalbek-Hermel,2024-09-01,Air/drone strike,287
Lebanon,Baalbek-Hermel,2024-09-01,Armed clash,0
